icon_label,meaning
Categories,Category icon on Home page (click_categories_icon)
Recommended,Recommended icon on Home page (click_suggest_icon)
New,New icon on Home page (click_new_icon)
Promo,Promo icon on Home page (click_promo_icon)
Back Order,Backorder icon on Home page (click_backorder_icon)
Backorder,Backorder icon on Home page (click_backorder_icon)
Recommend,Recommended icon on Home page (click_suggest_icon)
Editor's Pick,Click the button to visit the title.
Recommend by Service,Click the button to visit the title.
Purchase History,Click the button to visit the title.
